title,category,price_gbp,price_inr,rating,in_stock,url
A Paris Apartment,Historical Fiction,39.01,4115.55,4,True,https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html
Lilac Girls,Historical Fiction,17.28,1823.04,2,True,https://books.toscrape.com/catalogue/lilac-girls_597/index.html
The Constant Princess (The Tudor Court #1),Historical Fiction,16.62,1753.41,3,True,https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html
The Invention of Wings,Historical Fiction,37.34,3939.37,1,True,https://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html
World Without End (The Pillars of the Earth #2),Historical Fiction,32.97,3478.34,4,True,https://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html
The Passion of Dolssa,Historical Fiction,28.32,2987.76,5,True,https://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html
Girl With a Pearl Earring,Historical Fiction,26.77,2824.24,1,True,https://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html
Voyager (Outlander #3),Historical Fiction,21.07,2222.89,5,True,https://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html
The Red Tent,Historical Fiction,35.66,3762.13,5,True,https://books.toscrape.com/catalogue/the-red-tent_273/index.html
The Last Painting of Sara de Vos,Historical Fiction,55.55,5860.52,2,True,https://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,49.53,5225.41,1,True,https://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html
Girl in the Blue Coat,Historical Fiction,46.83,4940.56,2,True,https://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,5516.6,5,True,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,16.28,1717.54,1,True,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
This One Summer,Sequential Art,19.49,2056.19,4,True,https://books.toscrape.com/catalogue/this-one-summer_947/index.html
The Nameless City (The Nameless City #1),Sequential Art,38.16,4025.88,4,True,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,51.04,5384.72,2,True,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,50.4,5317.2,3,True,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,13.61,1435.86,5,True,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
"Pop Gun War, Volume 1: Gift",Sequential Art,18.97,2001.33,1,True,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
Patience,Sequential Art,10.16,1071.88,3,True,https://books.toscrape.com/catalogue/patience_916/index.html
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,15.44,1628.92,4,True,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,48.41,5107.25,1,True,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,46.91,4949.0,2,True,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,45.61,4811.85,3,True,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,19.92,2101.56,2,True,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,29.17,3077.44,2,True,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
I am a Hero Omnibus Volume 1,Sequential Art,54.63,5763.47,3,True,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,22.11,2332.61,2,True,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html
Danganronpa Volume 1,Sequential Art,51.99,5484.95,4,True,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,36.72,3873.96,4,True,https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html
Camp Midnight,Sequential Art,17.08,1801.94,4,True,https://books.toscrape.com/catalogue/camp-midnight_886/index.html
The Secret Garden,Classics,15.08,1590.94,4,True,https://books.toscrape.com/catalogue/the-secret-garden_413/index.html
The Metamorphosis,Classics,28.58,3015.19,1,True,https://books.toscrape.com/catalogue/the-metamorphosis_409/index.html
The Pilgrim's Progress,Classics,50.26,5302.43,2,True,https://books.toscrape.com/catalogue/the-pilgrims-progress_353/index.html
The Hound of the Baskervilles (Sherlock Holmes #5),Classics,14.82,1563.51,2,True,https://books.toscrape.com/catalogue/the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html
Little Women (Little Women #1),Classics,28.07,2961.39,4,True,https://books.toscrape.com/catalogue/little-women-little-women-1_331/index.html
Gone with the Wind,Classics,32.49,3427.7,3,True,https://books.toscrape.com/catalogue/gone-with-the-wind_324/index.html
Candide,Classics,58.63,6185.47,3,True,https://books.toscrape.com/catalogue/candide_316/index.html
Animal Farm,Classics,57.22,6036.71,3,True,https://books.toscrape.com/catalogue/animal-farm_313/index.html
Wuthering Heights,Classics,17.73,1870.52,3,True,https://books.toscrape.com/catalogue/wuthering-heights_307/index.html
The Picture of Dorian Gray,Classics,29.7,3133.35,2,True,https://books.toscrape.com/catalogue/the-picture-of-dorian-gray_270/index.html
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Classics,26.78,2825.29,4,True,https://books.toscrape.com/catalogue/the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/index.html
Beowulf,Classics,38.35,4045.93,2,True,https://books.toscrape.com/catalogue/beowulf_126/index.html
And Then There Were None,Classics,35.01,3693.55,2,True,https://books.toscrape.com/catalogue/and-then-there-were-none_119/index.html
The Story of Hong Gildong,Classics,43.19,4556.55,4,True,https://books.toscrape.com/catalogue/the-story-of-hong-gildong_84/index.html
The Little Prince,Classics,45.42,4791.81,2,True,https://books.toscrape.com/catalogue/the-little-prince_72/index.html
Sense and Sensibility,Classics,37.46,3952.03,1,True,https://books.toscrape.com/catalogue/sense-and-sensibility_49/index.html
Of Mice and Men,Classics,47.11,4970.1,2,True,https://books.toscrape.com/catalogue/of-mice-and-men_37/index.html
Emma,Classics,32.93,3474.11,2,True,https://books.toscrape.com/catalogue/emma_17/index.html
Alice in Wonderland (Alice's Adventures in Wonderland #1),Classics,55.53,5858.41,1,True,https://books.toscrape.com/catalogue/alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html
